Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
107,Deebo Samuel,27,SFO,WR,15,15,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,4.8,0,0,0.00,0.00,0.00,0,0,,SamuDe00
108,Jonnu Smith,28,ATL,TE,17,6,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0.7,0,0,0.00,0.00,0.00,0,0,,SmitJo01
109,Amon-Ra St. Brown,24,DET,WR,16,16,,0,0,,0,0,,0,,0,,,,,,0.0,,0.0,1,8,100.00,-8.00,-8.00,0,0,PBAP-1,StxxAm00
110,Kadarius Toney,24,KAN,WR,13,2,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0.3,0,0,0.00,0.00,0.00,0,0,,ToneKa00
111,Kyle Trask,25,TAM,QB,2,0,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,1.2,0,0,0.00,0.00,0.00,0,0,,TrasKy00
112,Cedrick Wilson Jr.,28,MIA,WR,15,3,,0,0,,0,0,,0,,0,,,,,,0.0,,0.1,1,7,100.00,-7.00,-7.00,0,0,,WilsCe01
113,Garrett Wilson,23,NYJ,WR,17,17,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,3.2,0,0,0.00,0.00,0.00,0,0,,WilsGa00
114,Christian Kirk,27,JAX,WR,12,12,,1,2,50.0,-1,0,0.0,0,0.0,0,,,-0.5,-0.50,-1.0,-0.1,56.2,3.1,0,0,0.00,-0.50,-0.50,0,0,,KirkCh01
115,Ja'Marr Chase,23,CIN,WR,16,16,,1,1,100.0,-7,0,0.0,0,0.0,0,,-7,-7.0,-7.00,-7.0,-0.4,79.2,1.8,0,0,0.00,-7.00,-7.00,0,0,PB,ChasJa00
,League Average,,,,,,,,,64.5,,,4.1,,2.3,,44.7,,7.0,6.79,10.9,106.3,89.0,,,,7.15,6.04,5.82,,,,-9999
